ID,vtaline,lineabbr,commentid,linename,RouteServiceType,SignId,LineId,LineDirId,DirNum,DirectionName
ID61,61SOUTH,61,0,GOOD SAM HOSP - SIERRA & PIEDMONT,Core,202,18315,183151,1,SOUTH
ID62,62NORTH,62,0,GOOD SAM HOSP - SIERRA & PIEDMONT,Core,202,18316,183160,0,NORTH
ID62,62SOUTH,62,0,GOOD SAM HOSP - SIERRA & PIEDMONT,Core,202,18316,183161,1,SOUTH
ID63,63NORTH,63,0,ALMADEN EXPY - SAN JOSE STATE ,Local,202,18317,183170,0,NORTH
ID63,63SOUTH,63,0,ALMADEN EXPY - SAN JOSE STATE ,Local,202,18317,183171,1,SOUTH
ID64,64NORTH,64,0,ALMADEN LRT - MCKEE & WHITE  ,Core,202,18318,183180,0,NORTH
ID64,64SOUTH,64,0,ALMADEN LRT - MCKEE & WHITE  ,Core,202,18318,183181,1,SOUTH
ID65,65NORTH,65,0,KOOSER & BLOSSOM  HILL- DNTN  S.J.,Community Bus,202,18319,183190,0,NORTH
ID65,65SOUTH,65,0,KOOSER & BLOSSOM  HILL- DNTN  S.J.,Community Bus,202,18319,183191,1,SOUTH
ID66,66NORTH,66,0,KAISER SAN JOSE - MILPITAS/DIXON,Core,202,18320,183200,0,NORTH
ID66,66SOUTH,66,0,KAISER SAN JOSE - MILPITAS/DIXON,Core,202,18320,183201,1,SOUTH
ID68,68NORTH,68,0,GILROY TC - SAN JOSE DIRIDON,Core,202,18321,183210,0,NORTH
ID68,68SOUTH,68,0,GILROY TC - SAN JOSE DIRIDON,Core,202,18321,183211,1,SOUTH
ID70,70NORTH,70,0,CAPITOL LRT STN - GREAT MALL/MAIN,Core,202,18322,183220,0,NORTH
ID70,70SOUTH,70,0,CAPITOL LRT STN - GREAT MALL/MAIN,Core,202,18322,183221,1,SOUTH
ID71,71NORTH,71,0,EASTRIDGE- GREAT MALL/MAIN        ,Core,202,18323,183230,0,NORTH
ID71,71SOUTH,71,0,EASTRIDGE- GREAT MALL/MAIN        ,Core,202,18323,183231,1,SOUTH
ID72,72NORTH,72,0,SENTER/MONTEREY - DOWNTOWN SAN JOSE,Core,202,18324,183240,0,NORTH
ID72,72SOUTH,72,0,SENTER/MONTEREY - DOWNTOWN SAN JOSE,Core,202,18324,183241,1,SOUTH
ID73,73NORTH,73,0,SNELL & CAPITOL - DOWNTWN SAN JOSE ,Core,202,18325,183250,0,NORTH
ID73,73SOUTH,73,0,SNELL & CAPITOL - DOWNTWN SAN JOSE ,Core,202,18325,183251,1,SOUTH
ID77,77NORTH,77,0,EASTRIDGE - GREAT MALL/MAIN ,Core,202,18326,183260,0,NORTH
ID77,77SOUTH,77,0,EASTRIDGE - GREAT MALL/MAIN ,Core,202,18326,183261,1,SOUTH
ID81,81EAST,81,0,MOFFETT/AMES CTR - SAN JOSE STATE,Local,202,18327,183270,0,EAST
ID81,81WEST,81,0,MOFFETT/AMES CTR - SAN JOSE STATE,Local,202,18327,183271,1,WEST
ID82,82NORTH,82,0,WESTGATE - DOWNTOWN SAN JOSE,Local,202,18328,183280,0,NORTH
ID82,82SOUTH,82,0,WESTGATE - DOWNTOWN SAN JOSE,Local,202,18328,183281,1,SOUTH
ID88,88NORTH,88,0,VETS HOSP - MIDDLEFIELD & COLORADO,Community Bus,202,18329,183290,0,NORTH
ID88,88SOUTH,88,0,VETS HOSP - MIDDLEFIELD & COLORADO,Community Bus,202,18329,183291,1,SOUTH
ID89,89NORTH,89,0,CALIFORNIA AVE CTRN-VETS HOSPITAL,Local,202,18330,183300,0,NORTH
ID89,89SOUTH,89,0,CALIFORNIA AVE CTRN-VETS HOSPITAL,Local,202,18330,183301,1,SOUTH
ID101,101NORTH,101,0,CAMDEN & HWY 85 - PALO ALTO,Express,202,18331,183310,0,NORTH
ID101,101SOUTH,101,0,CAMDEN & HWY 85 - PALO ALTO,Express,202,18331,183311,1,SOUTH
ID102,102NORTH,102,0,SOUTH SAN JOSE - PALO ALTO,Express,202,18332,183320,0,NORTH
ID102,102SOUTH,102,0,SOUTH SAN JOSE - PALO ALTO,Express,202,18332,183321,1,SOUTH
ID103,103EAST,103,0,EASTRIDGE - PALO ALTO,Express,202,18333,183330,0,EAST
ID103,103WEST,103,0,EASTRIDGE - PALO ALTO,Express,202,18333,183331,1,WEST
ID104,104EAST,104,0,PENITENCIA TRANS CTR - PALO ALTO,Express,202,18334,183340,0,EAST
ID104,104WEST,104,0,PENITENCIA TRANS CTR - PALO ALTO,Express,202,18334,183341,1,WEST
ID120,120NORTH,120,0,FREMONT BART - LOCKHEED MARTIN,Express,202,18335,183350,0,NORTH
ID120,120SOUTH,120,0,FREMONT BART - LOCKHEED MARTIN,Express,202,18335,183351,1,SOUTH
ID121,121NORTH,121,0,GILROY TRANS CTR - LOCKHEED MARTIN,Express,202,18336,183360,0,NORTH
ID121,121SOUTH,121,0,GILROY TRANS CTR - LOCKHEED MARTIN,Express,202,18336,183361,1,SOUTH
ID122,122NORTH,122,0,SOUTH SAN JOSE - LOCKHEED MARTIN,Express,202,18337,183370,0,NORTH
ID122,122SOUTH,122,0,SOUTH SAN JOSE - LOCKHEED MARTIN,Express,202,18337,183371,1,SOUTH
ID140,140NORTH,140,0,FREMONT BART - M.COLLEGE & MONTAGUE,Express,202,18338,183380,0,NORTH
ID140,140SOUTH,140,0,FREMONT BART - M.COLLEGE & MONTAGUE,Express,202,18338,183381,1,SOUTH
ID168,168NORTH,168,0,GILROY TRANS CTR - SAN JOSE DIRIDON,Express,202,18339,183390,0,NORTH
ID168,168SOUTH,168,0,GILROY TRANS CTR - SAN JOSE DIRIDON,Express,202,18339,183391,1,SOUTH
ID180,180NORTH,180,0,GREAT MALL/MAIN - FREMONT BART,Express,202,18340,183400,0,NORTH
ID180,180SOUTH,180,0,GREAT MALL/MAIN - FREMONT BART,Express,202,18340,183401,1,SOUTH
ID181,181NORTH,181,0,SAN JOSE DIRIDON - FREMONT BART,Express,202,18341,183410,0,NORTH
ID181,181SOUTH,181,0,SAN JOSE DIRIDON - FREMONT BART,Express,202,18341,183411,1,SOUTH
ID182,182NORTH,182,0,PALO ALTO - IBM/BAILEY AVE ,Express,202,18342,183420,0,NORTH
ID182,182SOUTH,182,0,PALO ALTO - IBM/BAILEY AVE ,Express,202,18342,183421,1,SOUTH
ID200,200NORTH,200,0,BAYPOINTE LRT - MOUNTAIN VIEW LRT,Community Bus,202,18343,183430,0,NORTH
ID201,201EAST,201,0,DOWNTOWN AREA SHUTTLE (DASH)    ,Community Bus,202,18344,183440,0,EAST
ID201,201WEST,201,0,DOWNTOWN AREA SHUTTLE (DASH)    ,Community Bus,202,18344,183441,1,WEST
ID304,304NORTH,304,0,S. SAN JOSE - SUNNYVALE TRANS CTR,Limited,202,18349,183490,0,NORTH
ID304,304SOUTH,304,0,S. SAN JOSE - SUNNYVALE TRANS CTR,Limited,202,18349,183491,1,SOUTH
ID321,321EAST,321,0,GREAT MALL/MAIN - LOCKHEED MARTIN,Limited,202,18350,183500,0,EAST
ID321,321WEST,321,0,GREAT MALL/MAIN - LOCKHEED MARTIN,Limited,202,18350,183501,1,WEST
ID323,323EAST,323,0,DE ANZA COL - DOWNTOWN SAN JOSE,Core,202,18351,183510,0,EAST
ID323,323WEST,323,0,DE ANZA COL - DOWNTOWN SAN JOSE,Core,202,18351,183511,1,WEST
ID328,328NORTH,328,0,ALMADEN VALLEY - LOCKHEED MARTIN,Limited,202,18352,183520,0,NORTH
ID328,328SOUTH,328,0,ALMADEN VALLEY - LOCKHEED MARTIN,Limited,202,18352,183521,1,SOUTH
ID330,330NORTH,330,0,ALMADEN VALLEY - TASMAN DRIVE,Limited,202,18353,183530,0,NORTH
ID330,330SOUTH,330,0,ALMADEN VALLEY - TASMAN DRIVE,Limited,202,18353,183531,1,SOUTH
ID522,522EAST,522,0,PALO ALTO - EASTRIDGE,Core,202,18354,183540,0,EAST
ID522,522WEST,522,0,PALO ALTO - EASTRIDGE,Core,202,18354,183541,1,WEST
ID822,822NORTH,822,0,GRAY LINE-ACE SOUTH SUNNYVALE   ,Shuttle - ACE,202,18357,183570,0,NORTH
ID822,822SOUTH,822,0,GRAY LINE-ACE SOUTH SUNNYVALE   ,Shuttle - ACE,202,18357,183571,1,SOUTH
ID823,823EAST,823,0,GREEN LINE-ACE NORTH SANTA CLARA,Shuttle - ACE,202,18358,183580,0,EAST
ID823,823WEST,823,0,GREEN LINE-ACE NORTH SANTA CLARA,Shuttle - ACE,202,18358,183581,1,WEST
ID824,824EAST,824,0,ORANGE LINE-ACE MOUNTAIN VIEW   ,Shuttle - ACE,202,18359,183590,0,EAST
ID824,824WEST,824,0,ORANGE LINE-ACE MOUNTAIN VIEW   ,Shuttle - ACE,202,18359,183591,1,WEST
ID825,825EAST,825,0,PURPLE LINE-ACE WEST MILPITAS   ,Shuttle - ACE,202,18360,183600,0,EAST
ID825,825WEST,825,0,PURPLE LINE-ACE WEST MILPITAS   ,Shuttle - ACE,202,18360,183601,1,WEST
ID826,826EAST,826,0,RED LINE-ACE NORTH SUNNYVALE    ,Shuttle - ACE,202,18361,183610,0,EAST
ID826,826WEST,826,0,RED LINE-ACE NORTH SUNNYVALE    ,Shuttle - ACE,202,18361,183611,1,WEST
ID827,827NORTH,827,0,YELLOW LINE-ACE S. SANTA CLARA  ,Shuttle - ACE,202,18362,183620,0,NORTH
ID827,827SOUTH,827,0,YELLOW LINE-ACE S. SANTA CLARA  ,Shuttle - ACE,202,18362,183621,1,SOUTH
ID828,828EAST,828,0,BROWN LINE-LIGHT RAIL           ,Shuttle - ACE,202,18363,183630,0,EAST
ID828,828WEST,828,0,BROWN LINE-LIGHT RAIL           ,Shuttle - ACE,202,18363,183631,1,WEST
ID831,831EAST,831,0,VIOLET LINE-EAST MILPITAS       ,Shuttle - ACE,202,18364,183640,0,EAST
ID831,831WEST,831,0,VIOLET LINE-EAST MILPITAS       ,Shuttle - ACE,202,18364,183641,1,WEST
ID900,900NORTH,900,0,OHLONE/CHYNOWETH - ALMADEN     ,Light Rail,202,18365,183650,0,NORTH
ID900,900SOUTH,900,0,OHLONE/CHYNOWETH - ALMADEN     ,Light Rail,202,18365,183651,1,SOUTH
ID901,901NORTH,901,0,ALUM ROCK-SANTA TERESA VIA BAYPOINT,Light Rail,202,18366,183660,0,NORTH
ID901,901SOUTH,901,0,ALUM ROCK-SANTA TERESA VIA BAYPOINT,Light Rail,202,18366,183661,1,SOUTH
ID902,902NORTH,902,0,MOUNTAIN VIEW - WINCHESTER,Light Rail,202,18367,183670,0,NORTH
ID902,902SOUTH,902,0,MOUNTAIN VIEW - WINCHESTER,Light Rail,202,18367,183671,1,SOUTH
ID185,185NORTH,185,NULL,GILROY TC - MOUNTAIN VIEW,Express,202,18471,184710,0,NORTH
ID185,185SOUTH,185,NULL,GILROY TC - MOUNTAIN VIEW,Express,202,18471,184711,1,SOUTH
ID911,911NORTH,911,0,LRT SANTA TERESA - LEVI''S STADIUM,Light Rail,202,18477,184770,0,NORTH
ID911,911SOUTH,911,0,LRT SANTA TERESA - LEVI''S STADIUM,Light Rail,202,18477,184771,1,SOUTH
ID912,912EAST,912,0,LRT MOUNTAIN VIEW - GISH,Light Rail,202,18478,184780,0,EAST
ID912,912WEST,912,0,LRT MOUNTAIN VIEW - GISH,Light Rail,202,18478,184781,1,WEST
ID913,913EAST,913,0,LRT ALUM ROCK - LEVI''S STADIUM,Light Rail,202,18479,184790,0,EAST
ID913,913WEST,913,0,LRT ALUM ROCK - LEVI''S STADIUM,Light Rail,202,18479,184791,1,WEST
ID914,914NORTH,914,0,LRT WINCHESTER - LEVI''S STADIUM,Light Rail,202,18480,184800,0,NORTH
ID914,914SOUTH,914,0,LRT WINCHESTER - LEVI''S STADIUM,Light Rail,202,18480,184801,1,SOUTH
